Name_sequence	Genome_length	Virus_name	Complete_segment_name
NC_038294.1	30111	Betacoronavirus England 1 isolate H123990006	Betacoronavirus England 1 isolate H123990006, complete genome
NC_006577.2	29926	Human coronavirus HKU1	Human coronavirus HKU1, complete genome
NC_004718.3	29751	SARS coronavirus Tor2	SARS coronavirus Tor2, complete genome
NC_003045.1	31028	Bovine coronavirus isolate BCoV-ENT	Bovine coronavirus isolate BCoV-ENT, complete genome
NC_006213.1	30741	Human coronavirus OC43 strain ATCC VR-759	Human coronavirus OC43 strain ATCC VR-759, complete genome
NC_025379.2	6705	Mamastrovirus 3 isolate PAstV-GX1	Mamastrovirus 3 isolate PAstV-GX1, complete genome
NC_030454.1	7317	Enterovirus A114 strain V13-0285	Enterovirus A114 strain V13-0285, partial genome
NC_019843.3	30119	Middle East respiratory syndrome-related coronavirus isolate HCoV-EMC/2012	Middle East respiratory syndrome-related coronavirus isolate HCoV-EMC/2012, complete genome
NC_045512.2	29903	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
NC_048214.1	27754	Duck coronavirus isolate DK/GD/27/2014	Duck coronavirus isolate DK/GD/27/2014, complete genome
NC_048213.1	27464	Infectious bronchitis virus isolate Ind-TN92-03	Infectious bronchitis virus isolate Ind-TN92-03, complete genome
NC_038882.1	9599	Hepatitis C virus (isolate H77) genotype 1	Hepatitis C virus (isolate H77) genotype 1, complete cds
NC_045762.1	7839	Norovirus GIV genotype GIV.2 nonstructural polyprotein (ORF1)	Norovirus GIV genotype GIV.2 nonstructural polyprotein (ORF1), VP1 (ORF2), and VP2 (ORF3) genes, complete cds
NC_044856.1	7734	Norovirus GI strain Hu/BD/2011/GI.7[PNA2]/Dhaka1882	Norovirus GI strain Hu/BD/2011/GI.7[PNA2]/Dhaka1882, complete genome
NC_044855.1	7419	Norovirus GIV strain Hu/US/2016/GIV.NA1[PNA1]/WI7002	Norovirus GIV strain Hu/US/2016/GIV.NA1[PNA1]/WI7002, complete genome
NC_044854.1	7693	Norovirus GI strain Hu/JP/2000/GI.6[PNA1]/WUG1	Norovirus GI strain Hu/JP/2000/GI.6[PNA1]/WUG1, complete genome
NC_044853.1	7677	Norovirus GI strain Hu/JP/1998/GI.6[PNA4]/No20-Saitama-98-17	Norovirus GI strain Hu/JP/1998/GI.6[PNA4]/No20-Saitama-98-17, complete genome
NC_044932.1	7525	Norovirus GII GII.NA2[PNA2]	Norovirus GII GII.NA2[PNA2], complete sequence
NC_040753.1	1721	Picobirnavirus sp. strain PBV/roe_deer/SLO/D38-14/2014 segment 2	Picobirnavirus sp. strain PBV/roe_deer/SLO/D38-14/2014 segment 2, complete sequence
NC_040752.1	2576	Picobirnavirus sp. strain PBV/roe_deer/SLO/D38-14/2014 segment 1	Picobirnavirus sp. strain PBV/roe_deer/SLO/D38-14/2014 segment 1, complete sequence
NC_040309.1	9585	Human DNA virus isolate IND-KIs-REVA-1990	Human DNA virus isolate IND-KIs-REVA-1990, complete genome
