Name_sequence	Genome_length	Virus_name	Complete_segment_name
NC_007646	135135	Ovine herpesvirus 2 strain BJ1035	Ovine herpesvirus 2 strain BJ1035, complete genome.
NC_003401	133719	Macacine herpesvirus 5	Macacine herpesvirus 5, genome.
NC_008725	111953	Maruca vitrata MNPV	Maruca vitrata MNPV, complete genome.
NC_001777	3684	Tobacco necrosis virus A	Tobacco necrosis virus A, complete genome.
NC_004203	1119	Banna virus strain JKT-6423	Banna virus strain JKT-6423, segment 8
NC_003521	241087	Panine herpesvirus 2 strain Heberling	Panine herpesvirus 2 strain Heberling, complete genome.
NC_016440	8638	Garlic common latent virus	Garlic common latent virus, complete genome.
NC_016562	132662	Campylobacter phage CPX	Campylobacter phage CPX, complete genome.
NC_016564	95299	Planktothrix phage PaV-LD	Planktothrix phage PaV-LD, complete genome.
NC_016565	18168	Staphylococcus phage S24-1	Staphylococcus phage S24-1, complete genome.
NC_016567	81184	Vibrio phage SIO-2	Vibrio phage SIO-2, complete genome.
NC_016568	24645	Helicobacter phage phiHP33	Helicobacter phage phiHP33, complete genome.
NC_016569	46140	Nocardia phage NBR1	Nocardia phage NBR1, complete genome.
NC_003539	284	Citrus viroid IV virus	Citrus viroid IV virus, complete genome.
NC_006577	29926	Human coronavirus HKU1	Human coronavirus HKU1, complete genome.
NC_009745	9711	Banana bract mosaic virus	Banana bract mosaic virus, complete genome.
NC_002324	4056	Rice grassy stunt tenuivirus	Rice grassy stunt tenuivirus, segment RNA 2
NC_006001	1664	St Croix River virus chromosome segment 5	St Croix River virus chromosome segment 5, complete genome.
NC_002512	230138	Rat cytomegalovirus Maastricht	Rat cytomegalovirus Maastricht, complete genome.
NC_005179	134721	Yaba monkey tumor virus	Yaba monkey tumor virus, complete genome.
NC_016571	284757	Pseudomonas phage OBP	Pseudomonas phage OBP, complete genome.
NC_000872	40739	Streptococcus phage Sfi21	Streptococcus phage Sfi21, complete genome.
NC_006146	171096	Macacine herpesvirus 4	Macacine herpesvirus 4, complete genome.
